question,answer
"Hello","Hello! How can I assist you today?"
"Hi","Hi there! How can I help you with your farming needs?"
"Hey","Hey! Need help with anything in farming?"
"How are you?","I'm doing great! How can I support your farming today?"
"Which crop should I grow in loamy soil?","You can grow wheat, sugarcane, and pulses in loamy soil."
"What is the best crop for clay soil?","Rice grows best in clay soil due to high water retention."
"Suggest crops for sandy soil","You can grow groundnut, watermelon, and millets in sandy soil."
"What fertilizer should I use for tomatoes?","Use nitrogen-rich fertilizer during growth and phosphorus for flowering."
"How to irrigate paddy fields?","Use flood irrigation or alternate wetting and drying for paddy."
"What is the best pesticide for aphids?","Neem oil or insecticidal soap is effective against aphids."
"How to prevent crop diseases?","Use crop rotation, proper irrigation, and disease-resistant seeds."
"Tell me about organic farming","Organic farming avoids synthetic inputs and promotes natural growth."
"When should I harvest wheat?","Wheat is harvested when the grains are hard and golden brown."
"What is crop rotation?","It is the practice of growing different crops in the same field to improve soil health."
"How to increase yield?","Use quality seeds, proper fertilizers, and monitor weather conditions."
"What are the benefits of drip irrigation?","It saves water and ensures efficient nutrient delivery to plants."
"Which fertilizer is good for banana plants?","Potassium-rich fertilizers like MOP are ideal for bananas."
"Suggest pesticide for fungal infection","Use copper-based fungicides or Trichoderma bio-fungicide."
"What is mulching?","Mulching is the process of covering soil with organic matter to retain moisture and suppress weeds."
"How can I check soil health?","You can use a soil testing kit or get it tested at an agriculture center."


